[MW-READER] Gap at 2025-10-13T17:19:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T17:23:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T17:28:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T17:32:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T17:40:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T17:46:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T17:50:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T17:54:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T18:17:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T18:31:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T18:39:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T18:56:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T19:01:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T19:07:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T19:10:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T19:28:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T19:31:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T19:56:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T20:02:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T20:08:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T20:14:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T20:23:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T20:30:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T20:49:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T22:01:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T22:08:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T22:11:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T22:17:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T22:25:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T22:36:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T22:39:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T22:58:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T23:01:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T23:07:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T23:49:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-13T23:52:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T00:00:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T00:16:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T00:22:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T00:25:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T00:36:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T00:48:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T00:54:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T01:01:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T01:08:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T01:13:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T01:17:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T01:24:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T01:47:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T01:57:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T02:23:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T02:30:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T03:04:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T03:08:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T03:17:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T03:20:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T03:26:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T03:33:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T03:38:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T04:03:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T04:12:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T04:22:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T04:28:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T04:32:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T04:36:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T04:47:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T04:50:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T05:00:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T05:05:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T05:25:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T05:38:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T05:43:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T05:51:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T06:08:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T06:16:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T06:21:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T06:28:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T06:42:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T06:45:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T06:57:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T07:16:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T07:22:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T07:25:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T07:41:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T07:46:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T07:57:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T08:11:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T08:16:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T08:20:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T08:24:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T08:31:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T08:39:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T08:48:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T08:52:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T08:58:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T09:07:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T09:14:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T09:18:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T09:21:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T09:25:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T09:30:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T09:35:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T09:44:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T09:49:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T09:59:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T10:03:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T10:17:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T10:24:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T10:37:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T10:54:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T11:01:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T11:09:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T11:15:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T11:20:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T11:33:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T11:39:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T11:44:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T11:48:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T11:52:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T11:57:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T12:03:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T12:07:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T12:12:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T12:17:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T12:28:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T12:32:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T12:48:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T12:59:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T13:05:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T13:11:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T13:20:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T13:25:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T15:10:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T15:15:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T15:23:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T15:31:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T16:09:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T17:02:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T17:08:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-14T17:16:00.000Z: no bar data available, skipped
